"Jahr"	"Anteil erneuerbare Energie (ohne Mobilität)"	"Bruttoverbrauch Total GWh (ohne Mobilität)"	"Erneuerbare Energie GWh"
2010	40.9	4863.5	1988.6
2012	42.8	4518.9	1932.8
2014	45.7	4075.0	1861.1
2016	47.0	4074.0	1914.3
2018	47.7	3814.1	1821.1
