"Category"	"2022"	"2023"	"2024"	"LWQ 2022"	"LWQ 2023"	"LWQ 2024"
"bis 29 m²"	119	67	48	3.50	1.86	1.33
"30-49 m²"	223	202	118	1.53	1.36	0.80
"50-69 m²"	441	362	258	1.34	1.09	0.78
"70-99 m²"	403	418	315	1.03	1.06	0.80
"100-149 m²"	110	142	121	0.63	0.80	0.68
"ab 150 m²"	32	38	37	0.51	0.59	0.58

