Wohnviertel Name	2011	2016
Altstadt GB	2860	3135
Vorstädte	5921	6697
Am Ring	13218	13881
Breite	10356	11081
St. Alban	13103	13720
Gundeldingen	22909	23635
Bruderholz	10772	11273
Bachletten	15563	16136
Gotthelf	8288	8433
Iselin	19946	21185
St. Johann	23804	24840
Altstadt KB	2814	3233
Clara	5083	5245
Wettstein	6524	7104
Hirzbrunnen	9893	10845
Rosental	6566	8831
Matthäus	20766	21209
Klybeck	9595	9600
Kleinhüningen	3341	3640
Riehen	24674	25634
Bettingen	1472	1474
