Jahr	Siedlungsabfälle (Hauskehricht und Sperrgut, verbrannt)	Zielwert
2000	193.6	
2001	190.2	
2002	192.3	
2003	183.7	
2004	184.1	
2005	180.2	
2006	178.8	
2007	177.2	
2008	171.7	
2009	186.1	
2010	176.8	
2011	164.8	
2012	168.5	
2013	163.5	
2014	165.5	
2015	168.5	
2016	161.5	
2017	158.5	
2018	163.2	
2019	155.9	
2020	158.9	
2021	158.2	
2022	151.9	
2023	149.1	
2024	150.6	
2025	147.3	
2026		
2027		
2028		
2029		
2030		
2031		
2032		
2033		
2034		
2035		
2036		
2037		109.13
