	Zahlungsrückstand	Zahlungrückstand 95%-Konfidenzintervall Untergrenze	Zahlungrückstand 95%-Konfidenzintervall Obergrenze	Betreibung, Verlustschein	Betreibung, Verlustschein 95%-Konfidenzintervall Untergrenze	Betreibung, Verlustschein 95%-Konfidenzintervall Obergrenze	Kontoüberziehung, Kreditkarte	Kontoüberziehung, Kreditkarte 95%-Konfidenzintervall Untergrenze	Kontoüberziehung, Kreditkarte 95%-Konfidenzintervall Obergrenze
2013	13.9	10.9	16.8	5.6	3.5	7.7	10.0	7.2	12.8
2014	12.6	10.4	14.8						
2015	11.5	9.3	13.7						
2016	12.6	10.2	15.0						
2017	17.0	14.0	19.9	7.8	5.6	10.0	10.1	7.3	13.0
2018	15.0	11.3	18.7						
2019	18.8	14.9	22.8						
