Wohnviertel_Id	wohnviertel_name	Anzahl	Anteil
01	Altstadt Grossbasel	133	33.756345178
02	Vorstädte	140	30.303030303
03	Am Ring	161	14.210061783
04	Breite	437	66.41337386
05	St. Alban	634	55.859030837
06	Gundeldingen	617	43.945868946
07	Bruderholz	1082	51.401425178
08	Bachletten	1519	61.126760563
09	Gotthelf	251	25.929752066
10	Iselin	250	17.24137931
11	St. Johann	209	13.896276596
12	Altstadt Kleinbasel	140	54.6875
13	Clara	40	17.467248908
14	Wettstein	450	64.655172414
15	Hirzbrunnen	672	42.477876106
16	Rosental	55	17.741935484
17	Matthäus	296	25.987708516
18	Klybeck	104	24.299065421
19	Kleinhüningen	42	26.41509434
20	Riehen	1667	39.316037736
30	Bettingen	174	54.889589905
