"Codegeo"	"GemeindeDescr"	"Personenwagen nach Gemeinde"
99968284	Roppentzwiller	678.3
99968286	Rosenau	739.5
99968297	Saint-Louis	510
99968309	Sierentz	663
99968312	Sondersdorf	780.3
99968325	Steinsoultz	780.3
99968327	Stetten	714
99968333	Tagsdorf	724.2
99968341	Uffheim	744.6
99968347	Vieux-Ferrette	642.6
99968349	Village-Neuf	632.4
99968353	Wahlbach	719.1
99968355	Waldighofen	683.4
99968357	Waltenheim	734.4
99968362	Wentzwiller	724.2
99968363	Werentzhouse	759.9
99968380	Wolschwiller	810.9
99968382	Zaessingue	719.1
