"Jahr"	"Motorisierungsgrad Messe"	"PW pro Haushalt Messe"	"Motorisierungsgrad Erlenmatt"	"PW pro Haushalt Erlenmatt"
2010	187.2	0.42	249.0	0.54
2011	190.2	0.40	220.6	0.49
2012	198.8	0.41	233.6	0.54
2013	189.0	0.39	235.2	0.54
2014	182.0	0.38	352.0	0.79
2015	191.2	0.40	247.4	0.52
2016	180.7	0.38	217.1	0.45
2017	188.0	0.39	223.2	0.48

