Jahr	Gundeldingen	Gundeldingen 95% Konfidenzintervall Untergrenze	Gundeldingen 95% Konfidenzintervall Obergrenze	Basel-Stadt	Basel-Stadt 95% Konfidenzintervall Untergrenze	Basel-Stadt 95% Konfidenzintervall Obergrenze
2011	0.819769	0.750569	0.888969	0.84226	0.823127	0.861393
2015	0.804951	0.724927	0.884975	0.858724	0.83837	0.879077
2019	0.786372	0.727011	0.845734	0.791719	0.772813	0.810626
2023	0.654902	0.571066	0.738738	0.758709	0.737166	0.780253

