Jahr	Über Grenzwert am Tag	Über Grenzwert in der Nacht	Über 50 dB(A) in der Nacht	LaermUeberschrTag	LaermUeberschrNacht	LaermUeberschrNacht50dbA	Mittlere Bevölkerung
2000	13.3752315217907517928	17.04000379933195079865	25.95735249885228513986	25347	32292	49191	189507
2003	14.91206669778098349526	19.40101404387118672832	25.63112563112563112563	28117	36581	48328	188552
2008	14.47376771736830971017	16.23545589168605881108	24.56579225724561032367	27367	30698	46449	189080
