Codegeo	GemeindeDescr	PerNum	Per
13052887	Lampenberg	2	Agglomerationsgemeinden Schweiz
13052889	Lauwil	2	Agglomerationsgemeinden Schweiz
13052891	Niederdorf	2	Agglomerationsgemeinden Schweiz
13052892	Oberdorf (BL)	2	Agglomerationsgemeinden Schweiz
13052893	Reigoldswil	2	Agglomerationsgemeinden Schweiz
13052894	Titterten	2	Agglomerationsgemeinden Schweiz
19094251	Hellikon	2	Agglomerationsgemeinden Schweiz
19094252	Kaiseraugst	2	Agglomerationsgemeinden Schweiz
19094253	Magden	2	Agglomerationsgemeinden Schweiz
19094254	Möhlin	2	Agglomerationsgemeinden Schweiz
19094255	Mumpf	2	Agglomerationsgemeinden Schweiz
19094256	Obermumpf	2	Agglomerationsgemeinden Schweiz
19094257	Olsberg	2	Agglomerationsgemeinden Schweiz
19094258	Rheinfelden	2	Agglomerationsgemeinden Schweiz
19094262	Wegenstetten	2	Agglomerationsgemeinden Schweiz
19094263	Zeiningen	2	Agglomerationsgemeinden Schweiz
19094264	Zuzgen	2	Agglomerationsgemeinden Schweiz
08336006	Bad Bellingen	3	Agglomerationsgemeinden Deutschland
08336008	Binzen	3	Agglomerationsgemeinden Deutschland
08336014	Efringen-Kirchen	3	Agglomerationsgemeinden Deutschland
08336019	Eimeldingen	3	Agglomerationsgemeinden Deutschland
08336024	Fischingen	3	Agglomerationsgemeinden Deutschland
08336034	Hasel	3	Agglomerationsgemeinden Deutschland
08336036	Hausen im Wiesental	3	Agglomerationsgemeinden Deutschland
08336043	Inzlingen	3	Agglomerationsgemeinden Deutschland
08336045	Kandern	3	Agglomerationsgemeinden Deutschland
08336050	Lörrach	3	Agglomerationsgemeinden Deutschland
08336057	Maulburg	3	Agglomerationsgemeinden Deutschland
08336069	Rheinfelden (Baden)	3	Agglomerationsgemeinden Deutschland
08336073	Rümmingen	3	Agglomerationsgemeinden Deutschland
08336075	Schallbach	3	Agglomerationsgemeinden Deutschland
08336081	Schopfheim	3	Agglomerationsgemeinden Deutschland
08336082	Schwörstadt	3	Agglomerationsgemeinden Deutschland
08336084	Steinen	3	Agglomerationsgemeinden Deutschland
08336091	Weil am Rhein	3	Agglomerationsgemeinden Deutschland
08336100	Wittlingen	3	Agglomerationsgemeinden Deutschland
08336103	Zell im Wiesental	3	Agglomerationsgemeinden Deutschland
08336104	Malsburg-Marzell	3	Agglomerationsgemeinden Deutschland
08336105	Grenzach-Wyhlen	3	Agglomerationsgemeinden Deutschland
08336106	Häg-Ehrsberg	3	Agglomerationsgemeinden Deutschland
08336107	Kleines Wiesental	3	Agglomerationsgemeinden Deutschland
99968013	Attenschwiller	4	Agglomerationsgemeinden Frankreich
99968021	Bartenheim	4	Agglomerationsgemeinden Frankreich
99968025	Bendorf	4	Agglomerationsgemeinden Frankreich
99968027	Berentzwiller	4	Agglomerationsgemeinden Frankreich
99968034	Bettlach	4	Agglomerationsgemeinden Frankreich
99968035	Biederthal	4	Agglomerationsgemeinden Frankreich
99968042	Blotzheim	4	Agglomerationsgemeinden Frankreich
99968049	Bouxwiller	4	Agglomerationsgemeinden Frankreich
99968054	Brinckheim	4	Agglomerationsgemeinden Frankreich
99968061	Buschwiller	4	Agglomerationsgemeinden Frankreich
99968075	Durmenach	4	Agglomerationsgemeinden Frankreich
99968080	Emlingen	4	Agglomerationsgemeinden Frankreich
99968087	Feldbach	4	Agglomerationsgemeinden Frankreich
99968090	Ferrette	4	Agglomerationsgemeinden Frankreich
99968092	Fislis	4	Agglomerationsgemeinden Frankreich
