	Regelmässig	Hin und wieder	Selten	Nie	Nicht möglich/nicht vorhanden	Keine Angabe
Einpersonenhaushalt	0.2	2.8	3.6	38.9	25.9	28.7
Mehrpersonenhaushalt	0.1	1.1	3.3	56.7	18	20.8
.						
Männlich	0.1	2.1	3	43	23.7	28
Weiblich	0.2	1.1	3.8	59.6	17.4	17.9
..						
55-64	0.4	2.9	6.1	64.2	12.6	13.8
65-74	0	1.5	2.3	52	26.9	17.3
>74	0	0.6	1.7	34.6	23.1	40
...						
Schweiz	0.2	1.8	3.4	49.7	21.1	23.8
Ausland	0	0.9	2.8	58.9	18.7	18.7
....						
<5000 Fr.	0	2	2.7	41.2	21.7	32.4
5000- 7499 Fr.	0.3	1.8	3.7	49.8	22.9	21.4
>7499 Fr.	0.2	1.6	4	61.9	17.1	15.1
.....						
Grossbasel Ost	0.2	2	3.7	48.3	22.3	23.5
Grossbasel West	0	1.8	3	52.3	22.6	20.3
Kleinbasel	0.3	1.7	2.1	50.7	20.5	24.7
Riehen, Bettingen	0	0.8	5.2	51.2	15.9	27
......						
2011	0	0.5	2.4	51.2	18.1	27.8
2015	0.1	1.7	3.4	50.4	20.8	23.6
