Jahr	Dornacherstrasse 49	Gundeldingerstrasse 107	Sempacherstrasse 68
2015	6348		
2016	6403	7672	
2017		7622	
2018	6317	7897	1119
2019	6013	7219	1065
2020	5226	5355	964
2021	4830	6077	997
2022	4604	5092	1021
2023	5476	6792	1074
2024	5651	7418	1054
