"Land 2020"	"Anzahl"
"Deutschland"	16648
"Italien"	8785
"Türkei"	5951
"EU-17 + EFTA"	16501
"EU-Ost"	4661
"Balkan"	7852
"Mittel- und Südamerika"	1900
"Arabische Länder"	1717
"Afrikanische Länder"	1981
"Übrige Länder"	8699

