	Einfamilienhaus-Parzellen	Mehrfamilienhaus-Parzellen
2010	100	100
2011	101.867189628995	147.46002609638
2012	111.679059446413	177.478234587287
2013	129.908124732355	220.824763547633
2014	135.188032857087	202.10024253415
2015	133.91793514229	262.254609254631
2016	138.443570677775	278.620135494762
2017	162.920932767548	393.69484928235
2018	176.497839374002	370.399775895497
2019	188.030910577335	401.803893815748
2020	208.469264608557	471.099365282969
2021	214.990072799471	611.164679950756
2022	242.7278389847	537.298656110165
2023	226.036516525869	436.156755202689
