"Jahr"	"Basel-Stadt"	"Basel-Landschaft"	"Leerstandsquote beide Basel (rechte Skala)"
2010	783	595	0.006
2011	522	572	0.005
2012	500	589	0.005
2013	361	492	0.004
2014	245	427	0.003
2015	361	528	0.004
2016	452	645	0.004
2017	546	809	0.005
2018	782	1060	0.007
2019	1124	1492	0.010

