Jahr	Tiefes Szenario	Mittleres Szenario	Hohes Szenario
2017	197810	198980	199990
2018	197450	199910	202080
2019	197120	200960	204400
2020	196800	202090	206920
2021	196450	203250	209580
2022	196060	204400	212320
2023	195620	205510	215070
2024	195130	206550	217750
2025	194590	207480	220320
2026	194010	208310	222720
2027	193410	209030	224960
2028	192780	209660	227030
2029	192140	210200	228960
2030	191490	210690	230780
