Jahr	Gundeldingen	Anteil Gundeldingen an Kanton (rechte Skala)	Basel-Stadt
2011	22920	12.51	183183
2012	23182	12.55	184725
2013	23504	12.47	188491
2014	24479	12.81	191155
2015	24068	12.65	190333
2016	24071	12.65	190301
2017	24341	12.78	190523
2018	24913	13.08	190462
2019	25393	13.19	192450
2020	25679	13.60	188778
2021	26275	13.61	193002
2022	26333	13.18	199737
2023	25553	12.79	199745

