"jahr"	"Holz"	"Umweltwärme"	"Sonnenenergie"	"Abfall"	"Klär-, Deponie- und Biogas"
1995	8.00				0.00
2000	6.00				0.00
2004	24.00				0.00
2010	147.04	15.01	10.57	350.62	0.39
2012	149.01	20.40	15.28	365.71	0.43
2014	176.55	26.16	24.96	372.01	0.46
2016	210.69	36.37	35.57	377.48	0.47
2018	198.47	36.27	42.78	380.38	70.41
