Jahr	Trinkwasserverbrauch der Haushalte pro Kopf und Tag in Liter	Verbrauch Total	Mittlere Wohnbevölkerung
2006	225.9	25730000	188441
2007	223	25431000	188332
2008	224.4	26161000	189080
2009	218.5	26772000	190682
2010	214.9	27309000	191946
2011	225.5	26019000	192174
2012	227.1	25441683	192900
2013	213.5	25912000	194655
2014	213.9	25615867	196086
2015	207.9	26545709	197003
