Aggloteile2	Erwerbstätigen	Erwerbslosen
Basel: Agglomeration	423573.6272	24123.206595
Basel: Kernstadt	87333.34202	5985.7166201
Basel: Übrige Agglomerationsgemeinden Schweiz	189044.19359	8603.1458683
Basel: Agglomerationsgemeinden Deutschland	104140	3840
Basel: Agglomerationsgemeinden Frankreich	43056.091585	5694.3441065
......		
Bern: Agglomeration	227491.33468	9309.0988807
Bern: Kernstadt	74690.336638	3696.4256859
Bern: Übrige Agglomerationsgemeinden Schweiz	152800.99805	5612.6731948
.........		
Genf: Agglomeration	413514.4404	48179.06243
Genf: Kernstadt	87033.759427	11140.287806
Genf: Übrige Agglomerationsgemeinden Schweiz	173304.07557	16886.763569
Genf: Agglomerationsgemeinden Frankreich	153176.6054	20152.011055
.............		
Lausanne: Agglomeration	211599.96845	16963.567735
Lausanne: Kernstadt	70267.589736	7198.075365
Lausanne: Übrige Agglomerationsgemeinden Schweiz	141332.37872	9765.4923701
................		
Zürich: Agglomeration	753047.95164	34602.916782
Zürich: Kernstadt	233264.10018	11801.037433
Zürich: Übrige Agglomerationsgemeinden Schweiz	519783.85146	22801.879349
