	Mittelwert 1. Qunitil	Mittelwert 2. Qunitil	Mittelwert 3. Qunitil	Mittelwert 4. Qunitil	Mittelwert 5. Qunitil	Konfidenzintervall unten 1. Quintil	Konfidenzintervall oben 1. Quintil	Konfidenzintervall unten 2. Quintil	Konfidenzintervall oben 2. Quintil	Konfidenzintervall unten 3. Quintil	Konfidenzintervall oben 3. Quintil	Konfidenzintervall unten 4. Quintil	Konfidenzintervall oben 4. Quintil	Konfidenzintervall unten 5. Quintil	Konfidenzintervall oben 5. Quintil
2018	33.785793	22.314899	18.383686	15.458089	11.548936	32.53661052	35.03497548	21.67942388	22.95037412	17.86053456	18.90683744	14.9957152	15.9204628	11.17060896	11.92726304
2019	33.405087	22.414358	18.161761	14.944296	11.336764	32.1902202	34.6199538	21.84863536	22.98008064	17.66154548	18.66197652	14.55729596	15.33129604	10.95737856	11.71614944
2020	33.041974	22.270965	18.151151	15.206434	11.521046	31.91694968	34.16699832	21.67797092	22.86395908	17.67926336	18.62303864	14.7834268	15.6294412	11.14871852	11.89337348
2021	32.048058	21.649181	17.820378	14.641542	11.544677	30.92045432	33.17566168	21.08165124	22.21671076	17.37226908	18.26848692	14.247141	15.035943	11.16304932	11.92630468
2022	33.940297	22.29305	18.266546	15.080193	11.021498	32.70884468	35.17174932	21.7035898	22.8825102	17.77516028	18.75793172	14.6644182	15.4959678	10.65271812	11.39027788
