Jahr	PV-Beziehende (inkl. SH/EL) (linke Achse)	Anteil PV-Beziehende an Wohnbev. in % (rechte Achse)
2005	52422	27.8959131545338
2006	52177	27.7844636619238
2007	50528	26.8765957446809
2008	49684	26.2107240076811
2009	51915	27.2069805832875
2010	51485	26.9838940455663
2011	52341	27.250150981903
2012	53403	27.6042985852299
2013	54294	27.7776925084033
2014	50302	25.602760712777
2015	50633	25.6754426887893
