"CityDescr"	"Gesamte Agglomeration"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	511.7	334.3	517.9	580	654.4
Bern	476.8	383.2	520.9		
Genève	530.3	364.7	538.2		624.6
Lausanne	501.7	363.3	570.3		
Zürich	506.6	348.3	573.6		
