Aggloteile	Geburtenziffer	Sterbeziffer	AggloSort
Grenzüberschreitende Agglomeration	9.65	9.41	0 Agglomeration
Kernstadt	11.24	10.79	1 Kernstadt
Übrige Agglomerationsgemeinden Schweiz	9.05	8.54	CH Agglo
Agglomerationsgemeinden Deutschland	9.51	10.61	DE Agglo
Agglomerationsgemeinden Frankreich	9.4	7.68	FR Agglo
