JAHR	Zugezogene	Weggezogene (Steuerertrag des Vorjahres)
2008	3926280	3235830
2009	5089099	3762947
2010	4349045	2791094
2011	4156840	5557410
2012	6333451	3246948
2013	8322403	4506023
2014	5610290	3772080
2015	5385968	2812328
2016	4658008	3929140
2017	4190524	4337738
2018	5816128	3204770
2019	5005036	3451660



