	Regelmässig	Hin und wieder	Selten	Nie	Nicht möglich/nicht vorhanden	Keine Angabe
Einpersonenhaushalt	0.2	1.2	2.2	62.1	13.6	20.8
Mehrpersonenhaushalt	0	0.8	0.5	79.2	6.2	13.4
.						
Männlich	0.1	1.1	1.3	69	10.2	18.3
Weiblich	0	0.6	1	78.5	7.2	12.8
..						
55-64	0	0.4	1.3	83	6.3	9
65-74	0	0.6	0.2	76.2	9.7	13.3
>74	0.2	1.7	1.9	59.8	10.4	25.9
...						
Schweiz	0.1	0.9	1.1	72.8	8.9	16.3
Ausland	0	0.9	1.9	75.7	8.4	13.1
....						
<5000 Fr.	0.2	1.6	2.5	60.6	11.9	23.3
5000- 7499 Fr.	0	0.9	0.9	77.1	8	13.1
>7499 Fr.	0	0.4	0.2	85.7	4.9	8.7
.....						
Grossbasel Ost	0	1.2	1.5	71.5	9.9	15.8
Grossbasel West	0.2	0.2	1.4	75.1	9.4	13.7
Kleinbasel	0	1	0.7	71.9	9	17.4
Riehen, Bettingen	0	1.6	0.8	75.4	6	16.3
......						
2011	0.5	0.8	1.1	71.6	0.1	26
2015	0.1	0.9	1.1	73.1	8.8	16
