Jahr	Peter Merian-Weg	Dorenbachviadukt
2016	2677	
2017	2730	
2018	3061	
2019	3378	
2020	3438	3486
2021	3530	3237
2022	4007	3626
2023	3459	3735
2024	2692	3819
