jahr	In die Schweiz	Ins Ausland	Anzahl Total	+/- (in %) in die Schweiz	+/- (in %) ins Ausland	+/- (in %) Total
2010	22450	269	22719	6.6	64.4	6.6
2011	22097	580	22677	7.3	48.5	7.2
2012	22943	512	23455	7	50.3	6.9
2013	23562	478	24040	7	53.9	6.9
2014	24679	508	25187	6.8	50.1	6.7
2015	24073	338	24411	6.9	64.9	6.9
