"Jahr"	"Heizöl"	"Erdgas"	"Benzin"	"Diesel"	"Anteil am Endenergieverbrauch (rechte Skala)"
2010	503.116594	1262.92771	415.966608	397.669556	46.296053703
2012	443.123656	1157.784357	404.573335	351.144801	45.110853769
2014	353.129502	983.79301	393.168257	373.994309	44.637954926
2016	258.238417	932.608456	377.819806	389.281783	41.606414985
2018	215.701163	692.602806	358.504373	398.445491	38.972767823
2020	198.347067	694.919574	222.448363	346.419228	35.724411774
2022	175.072661	558.402386	207.123582	390.852957	34.15177293
2024	144.680719	510.819642	190.551826	353.906072	31.854854198
