Jahr	Schweiz	Ausland	Total
2011	4385	1294	5679
2012	4189	1285	5474
2013	4109	1306	5415
2014	4089	1339	5428
2015	3959	1406	5365
2016	3940	1409	5349
Auswertung folgender 4 Bildungsinstitutionen: Allgemeine Gewerbeschule (AGS), Berufsfachschule (BFS), Schule für Gestaltung (SfG), Handelsschule KV (HKV); 2011-2013 JB-Zahlen; 2014-2016 SAS 06_Lernende_an_Berufsfachschulen	 	 	 
