Jahr	Bezueger Friedmatt	Bezueger Kannenfeld	Bezueger Landskron	Bezueger Lysbüchel	Bezueger Pestalozzi	Sozialhilfequote Friedmatt	Sozialhilfequote Kannenfeld	Sozialhilfequote Landskron	Sozialhilfequote Lysbüchel	Sozialhilfequote Pestalozzi	Sozialhilfequote Stadt Basel
2017	319	99	827	140	205	8.0	5.0	11.8	6.9	5.5	6.7
2018	317	92	828	124	183	8.0	4.6	11.9	6.4	4.8	6.5
2019	313	85	764	178	190	7.9	4.4	11.2	8.8	5.0	6.3
2020	295	79	684	166	196	7.4	4.0	9.9	8.0	5.2	6.1
2021	282	68	573	168	195	6.6	3.5	8.5	8.0	5.1	5.7
2022	251	53	556	160	179	5.8	2.7	8.1	6.7	4.7	5.3
2023	259	47	551	155	169	6.0	2.5	8.2	5.8	4.5	5.1
