Alter	MännerKlybeck	MännerKleinhüningen	FrauenKlybeck	FrauenKleinhüningen
0-4	186	86	182	80
5-9	197	71	167	75
10-14	171	67	175	63
15-19	157	56	162	71
20-24	251	80	219	105
25-29	309	100	310	124
30-34	335	122	319	105
35-39	337	104	284	98
40-44	337	100	264	94
45-49	231	90	224	90
50-54	297	101	250	86
55-59	262	126	256	78
60-64	208	88	185	78
65-69	163	58	150	74
70-74	134	55	117	59
75-79	87	51	91	67
80-84	53	30	84	41
85-89	42	17	55	31
90-94	6	7	25	20
95 u.m.	4	1	7	9
