"Kanton"	"Jahr"	"Zimmerzahl"	"Leerwohnungen"	"Anteil_Leerwohnungen"	"Leerstandsquote"
"BS"	2019	"1 Zimmer"	186	0.165	0.017
"BS"	2019	"2 Zimmer"	327	0.291	0.013
"BS"	2019	"3 Zimmer"	403	0.359	0.010
"BS"	2019	"4 Zimmer"	155	0.138	0.008
"BS"	2019	"5 Zimmer"	41	0.036	0.006
"BS"	2019	"6 Zimmer"	12	0.011	0.002

