	2014	2015	2016	2017	2018	2019	2020	2021	2022
Basel-Stadt	22.4	24.2	22.8	26.3	26.0	25.0	24.9	25.2	25.3
Basel-Landschaft	29.4	30.6	29.7	31.7	31.8	34.3	33.8	31.4	34.7
Jura	32.8	28.0	32.0	32.1	34.3	29.6	36.1	34.2	37.0
Schweiz	28.2	28.6	28.6	29.5	30.1	30.8	31.3	32.7	32.6
