Jahr	Gundeldingen	Gundeldingen 95% Konfidenzintervall Untergrenze	Gundeldingen 95% Konfidenzintervall Obergrenze	Basel-Stadt	Basel-Stadt 95% Konfidenzintervall Untergrenze	Basel-Stadt 95% Konfidenzintervall Obergrenze
2009	0.70229	0.646559	0.758022	0.736454	0.72099	0.751918
2013	0.774747	0.712912	0.836581	0.82318	0.807148	0.839211
2017	0.891632	0.828029	0.955234	0.844819	0.826655	0.862984
2022	0.872691	0.811085	0.934297	0.838438	0.818609	0.858268
