	Künstlerische und unterhaltende Tätigkeiten (inkl. Kinos)	"Erholung (inkl. Betrieb von Skipisten und Campingplätzen) und <br>Freizeitaktivitäten (inkl. Diskotheken, Nachtclubs, Casinos)"
Beschäftigte	1.147848308	1.551585099
Betriebe	4.030889838	1.731703036
