Jahr	Gundeldingen	Gundeldingen 95% Konfidenzintervall Untergrenze	Gundeldingen 95% Konfidenzintervall Obergrenze	Basel-Stadt	Basel-Stadt 95% Konfidenzintervall Untergrenze	Basel-Stadt 95% Konfidenzintervall Obergrenze
2011	0.153384	0.122743	0.184025	0.188358	0.178703	0.198014
2015	0.160922	0.127106	0.194738	0.191864	0.181199	0.20253
2019	0.258827	0.219728	0.297926	0.247978	0.236787	0.25917
2023	0.200297	0.164882	0.235711	0.242456	0.231138	0.253774
