"Kanton"	"2014"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2015"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2016"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2017"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"
"Basel-Stadt"	67.7546	65.0339	70.4754	66.4025	63.6039	69.2011	72.7308	70.0968	75.3648	71.7323	69.0634	74.4013
"Basel-Landschaft"	74.3510	72.3654	76.3365	74.9178	72.9863	76.8492	75.5900	73.5914	77.5885	76.7547	74.8608	78.6487
"Jura"	72.0209	69.1738	74.8679	68.8233	64.5354	73.1112	70.1859	66.0864	74.2853	69.8399	65.6317	74.0482
"BS/BL/JU"	71.8209	70.3746	73.2672	71.2795	69.7765	72.7826	73.9187	72.4338	75.4037	74.1774	72.7200	75.6348
"Schweiz"	75.3518	75.0194	75.6842	75.3794	75.0399	75.7188	75.6075	75.2718	75.9432	76.5141	76.1839	76.8443

