"Codegeo"	"GemeindeDescr"	"Anteil der Einpersonenhaushalte nach Gemeinde"
99968264	Ranspach-le-Haut	25.5
99968265	Rantzwiller	15.3
99968273	Riespach	25.5
99968284	Roppentzwiller	25.5
99968286	Rosenau	25.5
99968297	Saint-Louis	40.8
99968309	Sierentz	35.7
99968312	Sondersdorf	25.5
99968325	Steinsoultz	25.5
99968327	Stetten	20.4
99968333	Tagsdorf	25.5
99968341	Uffheim	20.4
99968347	Vieux-Ferrette	20.4
99968349	Village-Neuf	30.6
99968353	Wahlbach	20.4
99968355	Waldighofen	30.6
99968357	Waltenheim	15.3
99968362	Wentzwiller	30.6
99968363	Werentzhouse	30.6
99968380	Wolschwiller	25.5
99968382	Zaessingue	15.3
