Jahr	Siedlungsabfälle (Hauskehricht und Sperrgut)	Wertstoffsammlungen	Recyclingquote (rechte Skala)
2000	193.6	166.8	46.3
2001	190.2	165.9	46.6
2002	192.3	162.7	45.8
2003	183.7	161.6	46.8
2004	184.1	164.7	47.2
2005	180.2	170.6	48.6
2006	178.8	171.4	48.9
2007	177.2	173	49.4
2008	171.7	184.1	51.7
2009	186.1	178.2	48.9
2010	176.8	177.2	50.1
2011	164.8	174	51.4
2012	168.5	182.7	52
2013	163.5	176.3	51.9
2014	165.1	175	51.5
