	Allgemein	Halbprivat	Privat
0 bis 9 J.	7571	511	307
10 bis 19 J.	2210	190	145
20 bis 29 J.	3765	204	211
30 bis 39 J.	5858	591	438
40 bis 49 J.	4544	519	422
50 bis 59 J.	6119	1045	838
60 bis 69 J.	6391	1526	1097
70 bis 79 J.	6910	2294	1564
80 bis 89 J.	6307	1993	1343
90 Jahre u.m.	1737	480	360
