""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2014-01"	0.021400	36
"2014-02"	0.021400	37
"2014-03"	0.021400	35
"2014-04"	0.021400	30
"2014-05"	0.021400	30
"2014-06"	0.021400	27
"2014-07"	0.021400	25
"2014-08"	0.021400	23
"2014-09"	0.021400	19
"2014-10"	0.021400	19
"2014-11"	0.021400	26
"2014-12"	0.021400	29
"2015-01"	0.022738	32
"2015-02"	0.022738	33
"2015-03"	0.022738	37
"2015-04"	0.022738	28
"2015-05"	0.022738	27
"2015-06"	0.022738	32
"2015-07"	0.022738	25
"2015-08"	0.022738	27
"2015-09"	0.022738	28
"2015-10"	0.022738	29
"2015-11"	0.022738	28
"2015-12"	0.022738	31
"2016-01"	0.018980	33
"2016-02"	0.018980	34
"2016-03"	0.018980	30
"2016-04"	0.018980	29
"2016-05"	0.018980	22
"2016-06"	0.018980	16
"2016-07"	0.018980	14
"2016-08"	0.018980	16
"2016-09"	0.018980	17
"2016-10"	0.018980	25
"2016-11"	0.018980	29
"2016-12"	0.018980	33
"2017-01"	0.027960	47
"2017-02"	0.027960	40
"2017-03"	0.027960	41
"2017-04"	0.027960	34
"2017-05"	0.027960	32
"2017-06"	0.027960	30
"2017-07"	0.027960	27
"2017-08"	0.027960	25
"2017-09"	0.027960	29
"2017-10"	0.027960	35
"2017-11"	0.027960	38
"2017-12"	0.027960	61
"2018-01"	0.026050	60
"2018-02"	0.026050	57
"2018-03"	0.026050	45
"2018-04"	0.026050	34
"2018-05"	0.026050	29
"2018-06"	0.026050	27
"2018-07"	0.026050	22
"2018-08"	0.026050	21
"2018-09"	0.026050	20
"2018-10"	0.026050	23
"2018-11"	0.026050	29
"2018-12"	0.026050	42
"2019-01"	0.023311	44
"2019-02"	0.023311	42
"2019-03"	0.023311	40
"2019-04"	0.023311	36
"2019-05"	0.023311	41
"2019-06"	0.023311	28
"2019-07"	0.023311	24
"2019-08"	0.023311	19
"2019-09"	0.023311	18
"2019-10"	0.023311	24
"2019-11"	0.023311	23
"2019-12"	0.023311	27
"2020-01"	0.033119	26
"2020-02"	0.033119	38
"2020-03"	0.033119	50
"2020-04"	0.033119	49
"2020-05"	0.033119	51
"2020-06"	0.033119	48
"2020-07"	0.033119	40
"2020-08"	0.033119	43
"2020-09"	0.033119	36
"2020-10"	0.033119	46
"2020-11"	0.033119	43
"2020-12"	0.033119	50
"2021-01"	0.022419	46
"2021-02"	0.022419	42
"2021-03"	0.022419	36
"2021-04"	0.022419	37
"2021-05"	0.022419	31
"2021-06"	0.022419	28
"2021-07"	0.022419	32
"2021-08"	0.022419	26
"2021-09"	0.022419	20
"2021-10"	0.022419	18
"2021-11"	0.022419	17
"2021-12"	0.022419	19
"2022-01"	0.008598	19
"2022-02"	0.008598	18
"2022-03"	0.008598	12
"2022-04"	0.008598	9
"2022-05"	0.008598	10
"2022-06"	0.008598	10
"2022-07"	0.008598	9
"2022-08"	0.008598	9
"2022-09"	0.008598	9
"2022-10"	0.008598	9
"2022-11"	0.008598	8
"2022-12"	0.008598	13
"2023-01"	0.015413	15
"2023-02"	0.015413	16
"2023-03"	0.015413	13
"2023-04"	0.015413	12
"2023-05"	0.015413	12
"2023-06"	0.015413	15
"2023-07"	0.015413	18
"2023-08"	0.015413	22
"2023-09"	0.015413	18
"2023-10"	0.015413	25
"2023-11"	0.015413	32
"2023-12"	0.015413	44

