"jahr"	"Benzin"	"Diesel"	"Erdgas"	"Heizöl"	"Anteil am Endenergieverbrauch (rechte Skala)"
2010	416.166948	397.66955678	1262.9277103	503.116594	46.299649106
2012	405.048215	351.14480156	1157.7843572	443.12365626	45.119943999
2014	393.917677	373.994309	983.79301066	353.12950264	44.653853817
2016	378.591486	389.281783	932.60845667	258.23841724	41.622813203
2018	359.370153	398.445491	692.60280622	215.70116311	38.993030106
2020	224.836548	313.336111	694.91957457	198.34706706	34.681598115
