JAHR	Klybeck	Kleinhüningen
2000	34.0	31.8
2001	33.7	30.6
2002	32.7	31.4
2003	32.6	31.5
2004	31.8	29.8
2005	31.3	29.9
2006	31.8	30.0
2007	30.5	29.5
2008	30.7	29.0
2009	29.9	29.7
2010	29.3	30.4
2011	29.4	30.3
2012	29.1	30.1
2013	28.8	30.9
2014	27.7	30.4
2015	27.8	31.3
2016	29.0	31.8
2017	29.2	31.9
2018	28.6	32.2
