"Jahr"	"Handel, Reparatur"	"Verkehr, Lagerei"	"Gastgewerbe"	"Information, Kommunikation"
2005	13262.773	11948.608	6196.6747	4043.6442
2006	""	""	""	""
2007	""	""	""	""
2008	13322.528	11966.692	6337.9943	4212.4284
2009	""	""	""	""
2010	""	""	""	""
2011	13162.868	11303.415	6585.9696	4022.1692
2012	12968.645	11188.497	6693.0789	4488.998
2013	12699.818	10916.356	7163.4276	4437.2955
2014	12563.024	10715.607	7326.6867	4227.1106
2015	12403.858	9760.4789	7400.3098	4028.9675

