Destinationen	Frankfurt	Hamburg	Berlin	Wien	Nizza	Catania	Split	Budapest	Belgrad	Pristina	Skopje	Heraklion	Bukarest	Istanbul	Antalya	Lisbon	Porto	Madrid	Malaga	Alicante	Bordeaux	Toulouse	Barcelona	Palma de Mallorca	London	Amsterdam
Nordost	40515	52117	105264	58096																						
Südost					114079	46943	42692	73354	43633	418476	97103	43066	40979	234155	82102											
Südwest																66558	128435	45254	56239	61867	69684	43597	108864	148731		
Nordwest																									42759	100177

