"A"	"Erwerb"	"Versicherung"	"Grenzgänger Deutschland u.a."	"Grenzgänger aus Frankreich"	"Künstler, Sport"	"Verwaltungsräte"	"Renten"	"Kapitalleistungen"
Ertrag 2011	211927342	1549134	74792905	0	1230360	4670931	2218413	17378531
Ertrag 2020	384091656	2895164	88694108	0	680725	21307154	3323633	32090701
Veranlagungen 2011 (rechte Skala)	23111	1836	23273	0	1669	161	1057	5720
Veranlagungen 2020 (rechte Skala)	34311	2498	23315	0	1257	445	1665	8457


