Publikationsjahr	Klybeck Kleinhüningen 1 Zimmer	Klybeck 1 Zimmer	Kleinhüningen 1 Zimmer	Klybeck Kleinhüningen 2 Zimmer	Klybeck 2 Zimmer	Kleinhüningen 2 Zimmer	KlybeckKleinhüningen 3 Zimmer	Klybeck 3 Zimmer	Kleinhüningen 3 Zimmer	KlybeckKleinhüningen 4 Zimmer	Klybeck 4 Zimmer	Kleinhüningen 4 Zimmer	KlybeckKleinhüningen 5 Zimmer	Klybeck 5 Zimmer	Kleinhüningen 5 Zimmer	KlybeckKleinhüningen 6 Zimmer u.m.	Klybeck 6 Zimmer u.m.	Kleinhüningen 6 Zimmer u.m.
2013	454	366	88	1668	1328	340	2085	1412	673	694	499	195	128	100	28	45	24	21
2014	430	340	90	1683	1341	342	2084	1411	673	696	500	196	130	100	30	46	25	21
2015	434	342	92	1691	1348	343	2076	1404	672	700	504	196	131	100	31	48	27	21
2016	451	357	94	1692	1347	345	2078	1404	674	699	502	197	131	100	31	50	31	19
2017	453	359	94	1698	1352	346	2079	1405	674	698	501	197	135	104	31	45	26	19
2018	459	364	95	1700	1353	347	2079	1406	673	706	509	197	136	106	30	45	26	19

