Wohnviertel_Id	wohnviertel_name	Anzahl	Anteil
01	Altstadt Grossbasel	230	58.375634518
02	Vorstädte	292	63.203463203
03	Am Ring	887	78.287731686
04	Breite	133	20.212765957
05	St. Alban	231	20.352422907
06	Gundeldingen	608	43.304843305
07	Bruderholz	304	14.441805226
08	Bachletten	198	7.967806841
09	Gotthelf	626	64.669421488
10	Iselin	1116	76.965517241
11	St. Johann	1230	81.781914894
12	Altstadt Kleinbasel	96	37.5
13	Clara	173	75.545851528
14	Wettstein	115	16.522988506
15	Hirzbrunnen	600	37.926675095
16	Rosental	231	74.516129032
17	Matthäus	781	68.568920105
18	Klybeck	289	67.523364486
19	Kleinhüningen	95	59.748427673
20	Riehen	1548	36.509433962
30	Bettingen	0	
