Steuerertrag pro Einwohner/in in Franken	2014	2015	2016	2017
Bâle-Ville	13297	14230	14632	14104
Bâle-Campagne	7709	7775	8034	8464
Jura	6428	6491	6313	6353
Suisse	7646	7743	7868	7915
