	Regelmässig	Hin und wieder	Selten	Nie	Nicht möglich/nicht vorhanden	Keine Angabe
Einpersonenhaushalt	2.2	13.6	10.9	42.3	7.9	23.1
Mehrpersonenhaushalt	1.3	11.7	11.7	54.3	5	16
.						
Männlich	2.5	12.1	10.1	46	7.2	22.1
Weiblich	0.5	12.9	13.2	55	4.6	13.7
..						
55-64	1	11.3	11.9	60.4	4.8	10.5
65-74	1.3	14.1	13.1	52.2	5.9	13.5
>74	2.6	12.1	9.3	37.1	7.1	31.7
...						
Schweiz	1.7	12.8	11.8	49.4	5.7	18.6
Ausland	0.9	8.4	7.5	58.9	9.3	15
...						
<5000 Fr.	2	12.5	9.6	45.6	6.7	23.5
5000- 7499 Fr.	1.2	14.4	10.4	52.3	5.2	16.5
>7499 Fr.	1.8	13.8	14	54.8	3.6	12
.....						
Grossbasel Ost	1.5	10.1	11.4	49	7.7	20.3
Grossbasel West	1.6	13.5	10	53.9	5.5	15.5
Kleinbasel	2.1	13.2	11.1	47.9	5.6	20.1
Riehen, Bettingen	1.6	14.3	14.3	48	4.4	17.5
......						
2011	0.9	6.7	8.6	54.2	0.1	29.5
2015	1.6	12.4	11.4	50	6	18.5
