Veranstaltungstage	Barfüsserplatz (inkl. Theater)	Marktplatz	Münsterplatz	Oberer Rheinweg	Unterer Rheinweg	Kaserne (Belegungstage)
2009	33	2	0	19	0	0
2010	28	2	25	21	0	0
2011	35	1	27	18	0	141
2012	37	1	24	19	0	137
2013	40	1	26	21	0	122
2014	37	3	25	20	0	116
2015	41	2	27	17	0	0
2016	51	2	27	19	0	0
2017	35	2	28	18	0	0
2018	38	1	28	1	0	0
2019	47	1	27	18	0	0
2020	5	0	0	17	0	0
2021	16	0	0	0	0	0
