"jahr"	"Fernwärme (nicht erneuerbar)"	"Andere Energieträger (nicht erneuerbar)"	"Fernwärme (erneuerbar)"	"Andere Energieträger (erneuerbar)"
2014	1036.08024	1066.2858134	154.53513399	402.60037661
2016	1146.4458803	878.06082491	208.269607	416.26556792
2018	1309.4117768	576.23593859	180.40451733	413.56943849
