"Kanton"	"Industrie (exkl. Chemie, Pharma)"	"Chemie, Pharma"	"Baugewerbe"	"Handel, Reparatur"	"Verkehr, Lagerei"	"Gastgewerbe"	"Information, Kommunikation"	"Finanz-, Versicherungs-DL"	"Beratung, Planung, Forschung, Immobilien"	"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	"Personalvermittlung, -überlassung"	"Öffentliche Verwaltung, Sozialversicherungen"	"Erziehung, Unterricht"	"Gesundheits-, Sozialwesen"	"Kultur, Unterhaltung, pers. DL"	"Übrige Branchen"
"AG"	9226242743	3857694430	2650561975	6352615083	1475547227	378485775	1024811022	1711468056	2530691238	474849075	570745902	3511165405	191636533	3094194787	742290097	428077952
"BL"	2923517028	1800735115	1125389127	3608940431	957612939	144308707	376791772	694787485	3304663289	273838935	201824588	1691062503	101144456	1552058403	279269471	147169737
"BS"	1673320205	12876131447	799267374	2464971175	1499386691	483536924	717324558	3667112128	4583361125	488614263	707980477	2503495187	124880713	2379122146	717009508	48340285
"CH"	96181989548	30161797424	33742321149	88653932063	26724618762	10808931334	26520833591	60582310229	95706853649	9055493601	8592248088	68963656374	3845115570	51112486472	13458732096	6438680048
"ZH"	12596909309	825527998	5311971835	18389994885	5719739260	2293325281	9677495114	25022414667	21043037881	2208353232	1511298056	13653081562	821743319	9268375214	2835146603	696739308

