	Reineinkommen	Reinvermögen	Einkommens- und Vermögenssteuerertrag
2012	100	100	100
2013	103.2	113.5	105.2
2014	106.4	124.6	109.5
2015	105.9	112	106.8
2016	108.7	124.7	112.3
2017	107.9	114.4	107.5
2018	109.2	110.9	108.8
2019	114.1	136.4	121.2
2020	116	138.8	122.8
2021	121.8	160	131.5
