jahr	Gewaltstraftaten pro 100 000 Einwohner	Total registrierte Gewaltstraftaten	Mittere Wohnbevölkerung
2006	306.196634490371	577	188441
2007	267.612514070896	504	188332
2008	309.921726253438	586	189080
2009	374.445411732623	714	190682
2010	408.969189251144	785	191946
2011	464.162685899237	892	192174
2012	462.415759460861	892	192900
2013	411.497264390845	801	194655
2014	349.846495925257	686	196086
2015	334.512672395852	659	197003
