Bewrtung	Note 10	Note 9	Note 8	Note 7 	Note 6	Note 5	Note 4	Note 3	Note 2	Note 1
Freundlich	301	161	263	136	69	54	16	7	8	1
Handelt angemessen	175	128	295	185	70	64	21	14	4	6
Hilfsbereit	322	180	264	123	57	36	16	6	2	2
Sympatisch	234	143	276	142	86	84	14	12	11	1
Respektvoll	266	154	242	151	71	64	30	14	8	4
Nimmt Anliegen ernst	215	152	283	159	76	63	14	8	7	5
Gerecht	203	138	263	155	76	59	22	6	4	4
