	 2007	 2016
 Schweiz	18.9	17.2
 Deutschland	25.8	23.4
 Italien	23.8	25.5
 Frankreich	14.7	13.3
 USA	18.6	17.1
 UK	21.0	16.1
 Übriges Ausl.	23.9	21.5
 Total	21.3	19.4
