Bewrtung	Note 10	Note 9	Note 8	Note 7 	Note 6	Note 5	Note 4	Note 3	Note 2	Note 1
Freundlich	256	154	262	150	65	71	31	16	5	8
Handelt angemessen	159	108	289	187	89	97	25	14	8	9
Hilfsbereit	307	164	275	143	53	45	16	7	2	4
Sympatisch	221	127	274	172	81	88	25	10	6	12
Respektvoll	235	144	241	160	79	82	28	21	12	11
Nimmt Anliegen ernst	212	120	289	179	70	76	26	14	10	9
Gerecht	155	117	222	183	95	89	30	22	9	9
