"CityDescr"	"Gesamte Agglomeration"	"Kernstadt"	"CH Agglomerationsgürtel"	"DE Agglomerationsgürtel"	"FR Agglomerationsgürtel"
Basel	0.6713232085	1.0825005701	0.4834615251	0.3478507563	0.2812602214
Bern	0.7702100129	1.4140480036	0.4670126544		
Genève	0.6652767339	0.9051206409	0.541774386		0.2464279069
Lausanne	0.6324820258	0.8643349539	0.5174594832		
Zürich	0.7035343465	1.1728911864	0.5048340407		
