JahrBewilligungsart	0-17	18-25	26-64	65 u. m.
2009: Vorläufig Aufgenommene	93	38	155	7
2009: Asylsuchende	44	102	147	2
2018: Vorläufig Aufgenommene	303	179	369	19
2018: Asylsuchende	83	83	162	5
