	Basel-Stadt	Basel-Landschaft	Jura	BS/BL/JU
2014	1162938	309473	105731	1578142
2015	1201796	292377	106699	1600872
2016	1217677	282219	106420	1606316
2017	1328047	281820	103669	1713536
2018	1386499	284890	101896	1773285



