	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht / keine Angabe
Einpersonenhaushalt	22.7	45.7	16.2	4.5	10.9
Mehrpersonenhaushalt	20.8	46.4	21.8	2.8	8.1
.					
Männlich	23.7	42.5	19.7	4.2	10
Weiblich	18.8	50.7	19.9	2.6	8
..					
55-64	19.9	44.7	21.8	2.9	10.7
65-74	20.4	48.6	19.4	3.4	8.2
>74	24.4	45.4	18.1	3.9	8.2
...					
Schweiz	22.2	45.5	20.1	3.2	9.1
Ausland	14	54.2	17.8	6.5	7.5
....					
<5000 Fr.	18.6	46.5	20.1	3.8	11
5000- 7499 Fr.	22.9	45.9	20.8	3.4	7
>7499 Fr.	21.6	47.7	20.5	3.1	7.1
.....					
Grossbasel Ost	24.3	44.8	16.8	3.5	10.6
Grossbasel West	16.2	53	20.5	2.3	8
Kleinbasel	23.3	45.8	16.3	4.2	10.4
Riehen, Bettingen	24.6	38.5	26.6	4	6.3
......					
2011	24.7	43.3	19.8	2	10.2
2015	21.5	46.1	19.8	3.4	9.1
